frequency,raw
5015.00,-24.92
5034.53,-24.37
5054.10,-24.30
5073.71,-23.97
5093.35,-23.39
5113.03,-22.72
5132.76,-23.11
5152.52,-22.88
5172.31,-22.35
5192.15,-21.66
5212.02,-21.44
5231.93,-21.08
5251.88,-20.93
5271.87,-20.97
5291.90,-20.43
5311.96,-20.47
5332.07,-20.69
5352.21,-19.95
5372.38,-19.66
5392.60,-19.49
5412.86,-18.89
5433.15,-18.68
5453.48,-18.48
5473.85,-18.54
5494.26,-18.68
5514.70,-19.18
5535.19,-19.32
5555.71,-19.51
5576.27,-19.47
5596.86,-19.02
5617.50,-18.62
5638.17,-18.33
5658.89,-18.26
5679.64,-17.62
5700.43,-17.61
5721.25,-17.16
5742.12,-17.14
5763.02,-17.42
5783.96,-17.68
5804.94,-17.40
5825.96,-17.48
5847.01,-17.69
5868.10,-18.26
5889.24,-18.86
5910.40,-18.88
5931.61,-19.37
5952.86,-19.78
5974.14,-20.00
5995.46,-20.23
6016.82,-20.44
6038.22,-19.93
6059.66,-19.58
6081.13,-19.72
6102.64,-19.49
6124.20,-19.24
6145.78,-19.53
6167.41,-19.59
6189.08,-20.06
6210.78,-20.36
6232.52,-20.72
6254.30,-21.00
6276.12,-21.47
6297.97,-21.65
6319.87,-22.10
6341.80,-22.52
6363.77,-23.56
6385.77,-23.78
6407.82,-24.16
6429.90,-23.37
6452.03,-22.81
6474.19,-22.18
6496.39,-21.28
6518.62,-19.96
6540.90,-19.08
6563.21,-18.88
6585.56,-18.70
6607.95,-18.52
6630.38,-18.21
6652.84,-18.16
6675.34,-18.52
6697.89,-19.13
6720.47,-19.05
6743.08,-19.61
6765.74,-19.97
6788.43,-20.03
6811.16,-20.45
6833.93,-20.99
6856.74,-20.81
6879.59,-21.62
6902.47,-22.25
6925.40,-22.66
6948.36,-23.08
6971.35,-23.33
6994.39,-23.48
7017.47,-23.71
7040.58,-23.53
7063.73,-23.48
7086.92,-23.74
7110.15,-23.69
7133.41,-23.90
7156.72,-23.41
7180.06,-23.28
7203.44,-22.75
7226.86,-22.45
7250.31,-21.65
7273.81,-21.38
7297.34,-21.53
7320.91,-21.68
7344.52,-22.24
7368.16,-22.37
7391.85,-22.75
7415.57,-22.92
7439.33,-22.92
7463.13,-23.20
7486.97,-23.66
7510.84,-24.26
7534.76,-25.06
7558.71,-25.64
7582.70,-26.67
7606.72,-26.70
7630.79,-27.00
7654.89,-27.55
7679.04,-28.00
7703.22,-28.13
7727.43,-28.46
7751.69,-28.50
7775.98,-28.76
7800.32,-27.24
7824.69,-26.80
7849.10,-26.75
7873.54,-26.93
7898.03,-27.13
7922.55,-27.08
7947.11,-28.30
7971.71,-28.59
7996.35,-28.83
8021.02,-28.17
8045.74,-28.16
8070.49,-28.24
8095.28,-28.43
8120.11,-28.77
8144.97,-29.11
8169.88,-29.83
8194.82,-30.12
8219.80,-30.28
8244.82,-30.06
8269.87,-30.21
8294.97,-30.16
8320.10,-30.29
8345.27,-30.26
8370.48,-30.28
8395.73,-30.13
8421.01,-29.74
