frequency,raw
4613.66,-16.60
4632.39,-15.49
4651.16,-14.55
4669.96,-13.88
4688.81,-13.67
4707.69,-13.05
4726.61,-13.38
4745.57,-13.60
4764.57,-14.07
4783.60,-14.45
4802.68,-13.56
4821.79,-12.69
4840.94,-11.97
4860.13,-11.09
4879.35,-11.25
4898.62,-10.94
4917.92,-10.85
4937.26,-11.21
4956.64,-10.71
4976.05,-10.71
4995.51,-10.24
5015.00,-9.53
5034.53,-9.60
5054.10,-9.74
5073.71,-9.39
5093.35,-8.98
5113.03,-8.42
5132.76,-8.59
5152.52,-9.40
5172.31,-10.45
5192.15,-11.31
5212.02,-11.75
5231.93,-12.00
5251.88,-11.52
5271.87,-11.56
5291.90,-10.90
5311.96,-10.44
5332.07,-9.61
5352.21,-8.95
5372.38,-8.88
5392.60,-8.23
5412.86,-8.21
5433.15,-7.46
5453.48,-6.53
5473.85,-5.91
5494.26,-5.09
5514.70,-5.17
5535.19,-4.70
5555.71,-4.14
5576.27,-3.06
5596.86,-2.54
5617.50,-1.96
5638.17,-1.60
5658.89,-1.49
5679.64,-1.33
5700.43,-1.16
5721.25,-1.02
5742.12,-0.97
5763.02,-1.00
5783.96,-0.47
5804.94,-0.91
5825.96,-1.26
5847.01,-1.98
5868.10,-2.14
5889.24,-2.15
5910.40,-2.20
5931.61,-1.77
5952.86,-1.29
5974.14,-0.70
5995.46,-0.22
6016.82,-0.06
6038.22,-0.55
6059.66,-0.93
6081.13,-1.20
6102.64,-1.85
6124.20,-2.30
6145.78,-3.09
6167.41,-3.54
6189.08,-3.80
6210.78,-4.02
6232.52,-4.10
6254.30,-4.00
6276.12,-4.25
6297.97,-4.24
6319.87,-3.74
6341.80,-3.13
6363.77,-3.53
6385.77,-3.46
6407.82,-3.41
6429.90,-3.58
6452.03,-3.77
6474.19,-3.98
6496.39,-3.65
6518.62,-4.14
6540.90,-4.10
6563.21,-4.47
6585.56,-5.08
6607.95,-5.08
6630.38,-5.82
6652.84,-6.28
6675.34,-7.15
6697.89,-7.56
6720.47,-8.04
6743.08,-8.65
6765.74,-9.50
6788.43,-9.81
6811.16,-9.80
6833.93,-10.67
6856.74,-10.19
6879.59,-10.66
6902.47,-9.88
6925.40,-10.04
6948.36,-9.35
6971.35,-9.91
6994.39,-10.42
7017.47,-11.38
7040.58,-12.28
7063.73,-12.42
7086.92,-12.55
7110.15,-12.33
7133.41,-11.54
7156.72,-11.22
7180.06,-11.33
7203.44,-12.38
7226.86,-13.16
7250.31,-12.57
7273.81,-11.97
7297.34,-11.60
7320.91,-11.37
7344.52,-10.41
7368.16,-10.47
7391.85,-10.71
7415.57,-10.81
7439.33,-10.03
7463.13,-9.14
7486.97,-8.74
7510.84,-8.77
7534.76,-8.85
7558.71,-8.52
7582.70,-8.54
7606.72,-8.82
7630.79,-9.42
7654.89,-9.75
7679.04,-8.95
7703.22,-8.74
7727.43,-8.60
7751.69,-9.01
7775.98,-9.13
7800.32,-8.95
7824.69,-8.67
7849.10,-7.52
7873.54,-7.25
7898.03,-7.09
7922.55,-7.51
7947.11,-7.93
7971.71,-8.89
7996.35,-9.91
8021.02,-10.53
8045.74,-10.11
8070.49,-9.17
8095.28,-8.58
8120.11,-8.56
8144.97,-9.29
8169.88,-9.41
8194.82,-9.45
8219.80,-9.48
8244.82,-9.79
8269.87,-9.74
8294.97,-9.57
8320.10,-9.63
8345.27,-9.65
8370.48,-9.95
8395.73,-9.65
8421.01,-10.48
8446.34,-10.33
8471.70,-10.22
8497.10,-9.85
8522.54,-9.67
8548.01,-10.07
8573.53,-10.47
8599.08,-10.53
8624.67,-10.51
8650.30,-10.73
8675.96,-10.52
8701.67,-10.30
8727.41,-10.60
8753.19,-11.40
8779.01,-12.22
8804.87,-12.31
8830.76,-11.32
8856.69,-10.79
8882.66,-10.88
8908.67,-11.86
8934.72,-12.06
8960.81,-11.44
8986.93,-10.99
9013.09,-11.31
9039.29,-10.77
9065.53,-10.51
9091.81,-10.16
9118.12,-11.12
9144.47,-10.50
9170.86,-10.65
9197.29,-9.89
9223.76,-10.27
9250.26,-9.76
9276.81,-9.84
9303.39,-9.77
9330.01,-10.32
9356.66,-9.70
9383.36,-10.31
9410.09,-10.25
9436.86,-10.14
9463.67,-9.52
9490.52,-9.55
9517.41,-9.56
9544.33,-9.68
9571.29,-10.43
9598.29,-10.11
9625.33,-9.90
9652.41,-9.97
9679.52,-9.99
9706.67,-9.50
9733.86,-8.76
9761.09,-9.02
9788.36,-9.45
9815.66,-9.58
9843.01,-9.36
9870.39,-9.08
9897.81,-9.61
9925.27,-10.76
9952.76,-11.57
9980.29,-10.77
10007.87,-10.85
10035.48,-10.59
10063.12,-11.16
10090.81,-11.33
10118.53,-11.83
10146.30,-12.39
10174.10,-12.81
10201.94,-12.66
10229.81,-12.77
10257.73,-12.77
10285.68,-12.87
10313.67,-13.05
10341.70,-13.05
10369.77,-13.15
10397.87,-13.21
10426.01,-12.97
10454.20,-13.07
10482.42,-12.98
10510.67,-13.21
10538.97,-13.80
10567.30,-14.25
10595.68,-14.99
10624.09,-14.77
10652.53,-14.09
10681.02,-14.30
10709.54,-14.62
10738.11,-13.32
10766.71,-13.21
10795.35,-13.89
10824.02,-15.47
10852.74,-16.02
10881.49,-14.78
10910.28,-14.12
10939.11,-14.46
10967.98,-14.04
10996.89,-13.80
11025.83,-14.33
11054.81,-15.46
11083.83,-16.09
11112.89,-15.94
11141.98,-16.05
11171.12,-16.50
11200.29,-17.29
11229.50,-17.44
11258.75,-17.35
11288.04,-16.86
11317.36,-17.07
11346.72,-19.12
11376.13,-19.70
11405.56,-20.03
11435.04,-19.70
11464.56,-19.67
11494.11,-19.22
11523.70,-19.99
11553.33,-20.94
11583.00,-20.97
11612.70,-20.09
11642.45,-20.19
11672.23,-19.73
11702.05,-20.14
11731.91,-19.77
11761.81,-20.04
11791.74,-20.28
11821.71,-20.92
11851.72,-20.85
11881.77,-20.48
11911.86,-19.98
11941.98,-20.08
11972.15,-20.34
12002.35,-21.76
12032.59,-20.82
12062.87,-20.26
12093.18,-19.85
12123.53,-19.77
12153.93,-19.57
12184.36,-20.13
12214.82,-21.63
12245.33,-22.39
12275.87,-22.51
12306.46,-21.91
12337.08,-22.43
12367.74,-22.56
12398.43,-22.02
12429.17,-22.22
12459.94,-22.73
12490.75,-22.19
12521.60,-21.26
12552.49,-22.07
12583.41,-23.14
12614.38,-23.12
12645.38,-22.28
12676.42,-22.82
12707.50,-23.06
12738.61,-23.10
12769.76,-23.45
12800.96,-23.35
12832.19,-23.39
12863.46,-22.59
12894.76,-21.77
12926.11,-21.58
12957.49,-21.89
12988.91,-22.55
13020.37,-23.07
13051.87,-23.50
13083.40,-23.13
13114.97,-23.09
13146.59,-23.05
13178.23,-22.97
13209.92,-23.39
13241.65,-23.01
13273.41,-23.43
13305.21,-22.69
13337.05,-22.00
13368.93,-22.22
13400.85,-22.20
13432.80,-22.91
13464.79,-23.26
13496.82,-23.85
13528.89,-24.08
13561.00,-24.19
13593.14,-24.13
13625.33,-25.05
13657.55,-24.94
13689.81,-24.86
13722.10,-24.25
13754.44,-24.48
13786.81,-25.75
13819.22,-25.86
13851.67,-25.28
13884.16,-25.05
13916.69,-25.95
13949.25,-26.39
13981.85,-26.21
14014.49,-26.65
14047.17,-26.56
14079.89,-26.62
14112.64,-27.23
14145.44,-27.22
14178.27,-27.02
14211.14,-27.38
14244.04,-27.85
14276.99,-27.97
14309.97,-28.78
14342.99,-28.32
14376.05,-28.35
14409.15,-29.21
14442.29,-29.67
14475.46,-28.53
14508.67,-28.35
14541.92,-28.69
14575.21,-29.02
14608.53,-29.58
14641.90,-29.87
14675.30,-30.31
14708.74,-30.83
14742.22,-30.51
14775.74,-30.42
14809.29,-31.70
14842.89,-32.51
14876.52,-32.42
14910.19,-31.60
14943.89,-31.30
14977.64,-32.03
15011.42,-33.19
15045.24,-33.71
15079.10,-33.65
15113.00,-33.51
15146.94,-33.66
15180.91,-33.87
15214.92,-34.54
15248.97,-34.90
15283.06,-35.40
15317.19,-36.08
15351.35,-36.72
15385.55,-36.98
15419.80,-36.82
15454.07,-37.29
15488.39,-38.20
15522.75,-38.82
15557.14,-38.65
15591.57,-38.48
15626.04,-39.12
15660.55,-39.56
15695.09,-39.01
15729.68,-39.56
15764.30,-40.57
15798.96,-39.72
15833.66,-39.40
15868.39,-40.27
15903.17,-40.76
15937.98,-40.89
15972.83,-41.38
16007.72,-41.53
16042.65,-41.82
16077.61,-42.56
16112.61,-43.07
16147.66,-42.91
16182.73,-43.64
16217.85,-43.58
16253.01,-43.61
16288.20,-44.48
16323.43,-44.87
16358.70,-45.54
16394.01,-46.41
16429.36,-46.48
16464.74,-47.25
16500.16,-47.03
16535.62,-46.33
16571.12,-46.77
16606.66,-47.94
16642.23,-48.39
16677.84,-48.20
16713.49,-47.71
16749.18,-47.58
16784.91,-48.54
16820.68,-48.18
16856.48,-48.35
16892.32,-48.65
16928.20,-47.52
16964.12,-47.93
17000.07,-48.79
17036.07,-48.65
17072.10,-48.56
17108.17,-48.56
17144.28,-49.26
17180.42,-49.76
17216.61,-49.45
17252.83,-49.28
17289.09,-48.78
17325.39,-48.44
17361.73,-48.38
17398.10,-48.84
17434.51,-49.88
17470.96,-49.70
17507.45,-49.56
17543.98,-49.49
17580.55,-48.82
17617.15,-50.38
17653.79,-50.60
17690.47,-49.43
17727.19,-49.60
17763.95,-49.68
17800.74,-50.42
17837.57,-50.96
17874.44,-49.98
17911.35,-50.50
17948.30,-50.73
17985.28,-49.21
18022.30,-49.71
18059.37,-50.18
18096.46,-50.55
18133.60,-51.41
18170.78,-51.73
18207.99,-52.43
18245.24,-52.75
18282.53,-51.90
18319.86,-51.64
18357.22,-52.66
18394.63,-52.39
18432.07,-52.00
18469.55,-52.29
18507.07,-52.75
18544.62,-52.49
18582.22,-52.93
18619.85,-53.17
18657.52,-54.06
18695.23,-53.57
18732.98,-53.09
18770.76,-52.79
18808.58,-52.65
18846.45,-52.81
18884.35,-53.33
18922.28,-52.88
18960.26,-52.00
18998.27,-52.08
19036.32,-52.36
19074.41,-52.31
19112.54,-52.86
19150.71,-52.24
19188.91,-52.01
19227.15,-53.10
19265.43,-52.73
19303.75,-52.86
19342.11,-52.98
19380.50,-52.81
19418.94,-52.49
19457.41,-51.76
19495.92,-52.49
19534.46,-53.18
19573.05,-52.01
19611.67,-52.24
19650.33,-52.49
19689.03,-52.68
19727.77,-51.53
19766.55,-51.05
19805.36,-50.59
19844.21,-50.31
19883.10,-50.57
19922.03,-50.04
19961.00,-49.16
