frequency,raw
17543.98,-42.87
17580.55,-44.27
17617.15,-44.66
17653.79,-44.48
17690.47,-44.05
17727.19,-43.71
17763.95,-43.03
17800.74,-41.54
17837.57,-41.17
17874.44,-42.39
17911.35,-43.61
17948.30,-44.69
17985.28,-45.32
18022.30,-45.08
18059.37,-44.11
18096.46,-45.28
18133.60,-46.50
18170.78,-48.10
18207.99,-48.34
18245.24,-47.08
18282.53,-46.37
18319.86,-46.23
18357.22,-46.60
18394.63,-46.81
18432.07,-47.29
18469.55,-47.27
18507.07,-46.66
18544.62,-43.91
18582.22,-43.80
18619.85,-44.53
18657.52,-45.26
18695.23,-44.76
18732.98,-42.83
18770.76,-43.10
18808.58,-43.21
18846.45,-43.41
18884.35,-44.13
18922.28,-43.04
18960.26,-41.07
18998.27,-40.05
19036.32,-40.64
19074.41,-41.13
19112.54,-41.62
19150.71,-40.21
19188.91,-39.03
19227.15,-39.54
19265.43,-39.95
19303.75,-40.24
19342.11,-41.07
19380.50,-40.41
19418.94,-40.03
19457.41,-39.26
19495.92,-40.08
19534.46,-40.94
19573.05,-39.71
19611.67,-38.16
19650.33,-38.10
19689.03,-38.61
19727.77,-37.63
19766.55,-36.95
19805.36,-36.35
19844.21,-34.59
19883.10,-34.31
19922.03,-33.84
19961.00,-34.22
